Id,fid,ContPop,pob
HGDP00118,1440,CentralSouthAsia,
10300,1441,UAE,
13181,1442,UAE,
HGDP00145,1443,CentralSouthAsia,
13182,1444,UAE,rak
120295,1445,UAE,al_fujairah
HGDP00161,1446,CentralSouthAsia,
13184,1447,UAE,al_ain
120415,1448,UAE,dubai
HGDP00185,1449,CentralSouthAsia,
13185,1450,UAE,al_fujairah
120388,1451,UAE,
HGDP00208,1452,CentralSouthAsia,
13187,1453,UAE,abu_dhabi
120395,1454,UAE,
HGDP00232,1455,CentralSouthAsia,
13188,1456,UAE,rak
120397,1457,UAE,
HGDP00259,1458,CentralSouthAsia,
13189,1459,UAE,india
120413,1460,UAE,sharjah
HGDP00033,1461,CentralSouthAsia,
13190,1462,UAE,yemen
120416,1463,UAE,abu_dhabi
HGDP00288,1464,CentralSouthAsia,
10031,1465,UAE,yemen
HGDP00319,1466,CentralSouthAsia,
120417,1467,UAE,sharjah
HGDP00351,1468,CentralSouthAsia,
120367,1469,UAE,
HGDP00407,1470,CentralSouthAsia,
10049,1471,UAE,abu_dhabi
HGDP00971,1472,EastAsia,
10151,1473,UAE,yemen
HGDP00776,1474,EastAsia,
10160,1475,UAE,al_ain
HGDP00819,1476,EastAsia,
10197,1477,UAE,abu_dhabi
HGDP01290,1478,EastAsia,
10325,1479,UAE,bahrain
HGDP01099,1480,EastAsia,
10328,1481,UAE,dubai
HGDP01184,1482,EastAsia,
10331,1483,UAE,dubai
HGDP01196,1484,EastAsia,
10405,1485,UAE,
HGDP01211,1486,EastAsia,
10434,1487,UAE,abu_dhabi
HGDP01223,1488,EastAsia,
10455,1489,UAE,dubai
HGDP01235,1490,EastAsia,
10948,1491,UAE,abu_dhabi
HGDP01247,1492,EastAsia,
10566,1493,UAE,
HGDP01303,1494,CentralSouthAsia,
10568,1495,UAE,abu_dhabi
HGDP00124,1496,CentralSouthAsia,
10403,1497,UAE,abu_dhabi
HGDP00136,1498,CentralSouthAsia,
10776,1499,UAE,abu_dhabi
HGDP00151,1500,CentralSouthAsia,
120420,1501,UAE,rak
HGDP00171,1502,CentralSouthAsia,
120421,1503,UAE,palestine
HGDP00195,1504,CentralSouthAsia,
10411,1505,UAE,al_ain
HGDP00218,1506,CentralSouthAsia,
10449,1507,UAE,rak
HGDP00243,1508,CentralSouthAsia,
120403,1509,UAE,
HGDP00274,1510,CentralSouthAsia,
120391,1511,UAE,
HGDP00304,1512,CentralSouthAsia,
HGDP00330,1513,CentralSouthAsia,
HGDP00372,1514,CentralSouthAsia,
HGDP00433,1515,CentralSouthAsia,
